epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1128,1.58592,3.26772,1.15375,0.55969,0.34855,0.35807,0.21263,1.59535,2.1415,1.20445,0.000332016,0.000332016,0.0671304
2,193.622,1.5012,1.79941,1.13437,0.48307,0.49001,0.42308,0.24461,1.5138,1.78478,1.14872,0.000652175,0.000652175,0.0341173
3,288.307,1.48245,1.68338,1.11496,0.52991,0.51311,0.44256,0.25138,1.60617,1.78219,1.16939,0.000959135,0.000959135,0.00109089
4,384.211,1.41885,1.55113,1.09825,0.48217,0.52541,0.45466,0.26851,1.54278,1.52148,1.13262,0.0009406,0.0009406,0.0009406
5,478.806,1.39933,1.46374,1.09096,0.53112,0.54338,0.51065,0.3217,1.372,1.38247,1.08698,0.0009208,0.0009208,0.0009208
6,573.123,1.35879,1.4065,1.07039,0.50356,0.60503,0.51462,0.32183,1.36666,1.41311,1.09214,0.000901,0.000901,0.000901
7,666.551,1.33827,1.32302,1.0656,0.58085,0.52652,0.52183,0.32539,1.36828,1.39981,1.08942,0.0008812,0.0008812,0.0008812
8,764.718,1.31348,1.27797,1.04391,0.57122,0.62271,0.55033,0.3426,1.35185,1.22625,1.07539,0.0008614,0.0008614,0.0008614
9,859.941,1.30485,1.25417,1.0432,0.55473,0.63693,0.55604,0.35742,1.3178,1.18663,1.0859,0.0008416,0.0008416,0.0008416
10,953.527,1.29965,1.25001,1.05077,0.57018,0.63396,0.57587,0.36453,1.29415,1.19279,1.05977,0.0008218,0.0008218,0.0008218
11,1048.18,1.27355,1.18428,1.03973,0.58714,0.66132,0.59074,0.3833,1.25928,1.1536,1.03852,0.000802,0.000802,0.000802
12,1142.48,1.26121,1.187,1.03471,0.57839,0.65508,0.58978,0.37706,1.27512,1.16768,1.05795,0.0007822,0.0007822,0.0007822
13,1236.85,1.23432,1.14784,1.02587,0.6004,0.66627,0.60368,0.38814,1.2957,1.12158,1.05126,0.0007624,0.0007624,0.0007624
14,1330.98,1.22258,1.12854,1.02156,0.56209,0.67841,0.59397,0.37677,1.26021,1.13537,1.04431,0.0007426,0.0007426,0.0007426
15,1424.36,1.21245,1.11684,1.01916,0.58109,0.66207,0.5905,0.39402,1.22008,1.08374,1.03535,0.0007228,0.0007228,0.0007228
16,1519.53,1.20721,1.07564,1.0169,0.60305,0.67028,0.61438,0.39713,1.27962,1.08096,1.05264,0.000703,0.000703,0.000703
17,1613.56,1.1947,1.08352,1.01042,0.57028,0.66778,0.61135,0.39595,1.24174,1.08469,1.03737,0.0006832,0.0006832,0.0006832
18,1707.58,1.18495,1.06546,1.00398,0.61299,0.67488,0.62139,0.40799,1.21492,1.04724,1.02945,0.0006634,0.0006634,0.0006634
19,1802.23,1.16375,1.04065,0.99153,0.57928,0.66973,0.6077,0.39929,1.21356,1.0623,1.03033,0.0006436,0.0006436,0.0006436
20,1896.49,1.15307,1.05528,0.99241,0.61745,0.65395,0.61754,0.41156,1.19477,1.05384,1.03237,0.0006238,0.0006238,0.0006238
21,1991.46,1.14778,1.04572,0.99077,0.60594,0.66856,0.6255,0.41337,1.23089,1.02349,1.03552,0.000604,0.000604,0.000604
22,2089.96,1.15455,1.04078,0.98991,0.58589,0.69238,0.61713,0.41173,1.17607,1.08013,1.02687,0.0005842,0.0005842,0.0005842
23,2183.99,1.1329,1.03192,0.98814,0.60632,0.67288,0.62955,0.40989,1.20168,1.01788,1.01834,0.0005644,0.0005644,0.0005644
24,2279.08,1.13548,1.0055,0.98921,0.61441,0.66364,0.615,0.40216,1.21499,1.07202,1.03125,0.0005446,0.0005446,0.0005446
25,2374.07,1.12882,1.00642,0.98415,0.63861,0.68833,0.64363,0.41804,1.23671,1.00611,1.03178,0.0005248,0.0005248,0.0005248
26,2469.1,1.10808,0.99301,0.98125,0.62485,0.66892,0.63591,0.42161,1.20235,1.01304,1.02465,0.000505,0.000505,0.000505
27,2563.66,1.11525,0.98378,0.98282,0.63335,0.67582,0.63625,0.42428,1.20188,0.99578,1.02205,0.0004852,0.0004852,0.0004852
28,2657.34,1.08905,0.9629,0.97979,0.62056,0.68773,0.63846,0.42018,1.22858,0.99818,1.03528,0.0004654,0.0004654,0.0004654
29,2752.59,1.09222,0.97575,0.97553,0.6326,0.68008,0.64072,0.42358,1.19137,1.02492,1.02235,0.0004456,0.0004456,0.0004456
